Identyfikator projektu,Nazwa projektu,Identyfikator podmiotu,Rodzaj projektu,Koszt,Data rozpoczęcia,Data zakończenia,Identyfikator projektu architektonicznego,
755,WODOCIĄGOWY-1881,139,WODOCIĄGOWY,105930,25/01/2010,31/01/2010,3436,
756,WODOCIĄGOWY-5323,144,WODOCIĄGOWY,15730,28/04/2010,01/05/2010,2584,
757,WODOCIĄGOWY-4815,75,ELEKTRYCZNY,69375,20/05/2010,26/05/2010,5057,
758,WODOCIĄGOWY-218,75,PRZECIWGROMOWY,41300,01/11/2010,01/11/2010,1133,
759,WODOCIĄGOWY-4386,21,WODOCIĄGOWY,108625,20/02/2010,26/02/2010,1169,
760,WODOCIĄGOWY-923,179,OGRODNICZY,44200,24/06/2010,29/06/2010,9709,
761,WODOCIĄGOWY-9095,131,GRZEWCZY,113520,27/05/2010,03/06/2010,1163,
762,WODOCIĄGOWY-1244,16,ALARMOWY,36250,29/04/2010,02/05/2010,4716,
763,WODOCIĄGOWY-3538,61,ALARMOWY,39450,30/10/2010,05/11/2010,5691,
764,WODOCIĄGOWY-9546,65,WODOCIĄGOWY,45540,11/01/2010,19/01/2010,9366,
765,WODOCIĄGOWY-6437,64,PRZECIWGROMOWY,15365,01/06/2010,10/06/2010,734,
766,WODOCIĄGOWY-4804,199,WODOCIĄGOWY,96415,24/12/2010,01/01/2011,1165,
767,WODOCIĄGOWY-8338,92,OGRODNICZY,39750,28/12/2010,01/01/2011,7100,
768,WODOCIĄGOWY-9806,103,ALARMOWY,5150,27/11/2010,06/12/2010,2199,
769,WODOCIĄGOWY-2912,10,ALARMOWY,27600,19/12/2010,20/12/2010,9673,
770,WODOCIĄGOWY-634,51,OGRODNICZY,43050,19/09/2010,27/09/2010,4621,
771,WODOCIĄGOWY-2974,94,OGRODNICZY,38500,16/05/2010,25/05/2010,6346,
772,WODOCIĄGOWY-8771,169,ELEKTRYCZNY,137250,15/12/2010,15/12/2010,8982,
773,WODOCIĄGOWY-1544,74,OGRODNICZY,14825,08/09/2010,15/09/2010,4414,
774,WODOCIĄGOWY-3268,41,PRZECIWGROMOWY,22610,04/05/2010,09/05/2010,4502,
775,WODOCIĄGOWY-4750,178,ELEKTRYCZNY,143550,20/02/2010,24/02/2010,3128,
776,WODOCIĄGOWY-7746,140,WODOCIĄGOWY,84645,29/01/2010,04/02/2010,2732,
777,WODOCIĄGOWY-968,46,OGRODNICZY,33075,10/05/2010,18/05/2010,6224,
778,WODOCIĄGOWY-8374,60,PRZECIWGROMOWY,49140,19/10/2010,23/10/2010,6862,
779,WODOCIĄGOWY-8152,161,ALARMOWY,48300,29/04/2010,29/04/2010,7320,
780,WODOCIĄGOWY-3843,192,ALARMOWY,67000,08/06/2010,15/06/2010,3569,
781,WODOCIĄGOWY-8127,161,WODOCIĄGOWY,64680,11/02/2010,20/02/2010,7277,
782,WODOCIĄGOWY-2594,4,GRZEWCZY,156000,29/10/2010,04/11/2010,5691,
783,WODOCIĄGOWY-3699,51,GRZEWCZY,80240,23/02/2010,28/02/2010,5811,
784,WODOCIĄGOWY-310,8,WODOCIĄGOWY,6820,11/05/2010,17/05/2010,149,
785,WODOCIĄGOWY-3061,119,ELEKTRYCZNY,89550,20/04/2010,26/04/2010,1568,
786,WODOCIĄGOWY-1980,12,ELEKTRYCZNY,16800,18/05/2010,19/05/2010,4087,
787,WODOCIĄGOWY-8210,142,ELEKTRYCZNY,32550,03/10/2010,08/10/2010,6433,
788,WODOCIĄGOWY-2325,128,OGRODNICZY,36375,25/09/2010,28/09/2010,2625,
789,WODOCIĄGOWY-9260,124,ELEKTRYCZNY,74925,28/09/2010,28/09/2010,7594,
790,WODOCIĄGOWY-7944,38,OGRODNICZY,12250,01/04/2010,02/04/2010,6398,
791,WODOCIĄGOWY-1581,145,GRZEWCZY,153040,10/09/2010,19/09/2010,8582,
792,WODOCIĄGOWY-3529,35,ELEKTRYCZNY,92100,31/10/2010,02/11/2010,152,
793,WODOCIĄGOWY-4614,82,PRZECIWGROMOWY,41685,15/11/2010,22/11/2010,499,
794,WODOCIĄGOWY-7079,95,WODOCIĄGOWY,37125,10/06/2010,16/06/2010,3765,
795,WODOCIĄGOWY-9944,183,OGRODNICZY,17900,23/02/2010,23/02/2010,7757,
796,WODOCIĄGOWY-3255,32,ELEKTRYCZNY,71625,23/10/2010,01/11/2010,7858,
797,WODOCIĄGOWY-8314,99,GRZEWCZY,23840,27/01/2010,05/02/2010,6975,
798,WODOCIĄGOWY-969,165,ELEKTRYCZNY,6375,31/05/2010,01/06/2010,5282,
799,WODOCIĄGOWY-1791,175,ELEKTRYCZNY,7500,27/12/2010,30/12/2010,9056,
800,WODOCIĄGOWY-5864,36,WODOCIĄGOWY,101530,06/08/2010,15/08/2010,2671,
801,WODOCIĄGOWY-2020,81,ELEKTRYCZNY,64650,09/11/2010,09/11/2010,3592,
802,WODOCIĄGOWY-9826,143,ALARMOWY,28200,22/07/2010,31/07/2010,501,
803,WODOCIĄGOWY-8318,42,OGRODNICZY,35950,27/04/2010,05/05/2010,4854,
804,WODOCIĄGOWY-7090,181,GRZEWCZY,2560,24/04/2010,01/05/2010,611,
805,WODOCIĄGOWY-2427,8,PRZECIWGROMOWY,58660,11/07/2010,17/07/2010,9692,
806,WODOCIĄGOWY-6058,21,PRZECIWGROMOWY,43890,22/12/2010,28/12/2010,5420,
807,WODOCIĄGOWY-955,32,ELEKTRYCZNY,98175,03/05/2010,10/05/2010,1665,
808,WODOCIĄGOWY-7480,199,OGRODNICZY,8525,15/07/2010,24/07/2010,1064,
809,WODOCIĄGOWY-8219,77,OGRODNICZY,46650,30/04/2010,04/05/2010,7905,
810,WODOCIĄGOWY-6400,33,PRZECIWGROMOWY,46200,25/09/2010,30/09/2010,9705,
811,WODOCIĄGOWY-2903,107,ALARMOWY,60850,11/03/2010,13/03/2010,8829,
812,WODOCIĄGOWY-3986,47,ELEKTRYCZNY,83250,15/07/2010,22/07/2010,2680,
813,WODOCIĄGOWY-6329,49,OGRODNICZY,45950,20/12/2010,21/12/2010,8095,
814,WODOCIĄGOWY-8026,29,ELEKTRYCZNY,45600,29/03/2010,07/04/2010,3650,
815,WODOCIĄGOWY-4849,86,PRZECIWGROMOWY,42455,15/02/2010,17/02/2010,1866,
816,WODOCIĄGOWY-8592,176,ALARMOWY,17600,17/04/2010,24/04/2010,7358,
817,WODOCIĄGOWY-9311,91,ELEKTRYCZNY,10200,25/05/2010,30/05/2010,3561,
818,WODOCIĄGOWY-1493,90,ELEKTRYCZNY,68850,09/11/2010,10/11/2010,8357,
819,WODOCIĄGOWY-9948,59,ELEKTRYCZNY,50775,21/04/2010,30/04/2010,6794,
820,WODOCIĄGOWY-9863,167,PRZECIWGROMOWY,37625,13/03/2010,13/03/2010,6937,
821,WODOCIĄGOWY-751,93,PRZECIWGROMOWY,35385,10/04/2010,15/04/2010,3508,
822,WODOCIĄGOWY-7851,146,WODOCIĄGOWY,64625,20/04/2010,22/04/2010,5090,
823,WODOCIĄGOWY-1340,135,ALARMOWY,33300,22/12/2010,22/12/2010,3764,
824,WODOCIĄGOWY-87,107,OGRODNICZY,47625,11/01/2010,19/01/2010,9943,
825,WODOCIĄGOWY-4340,106,WODOCIĄGOWY,91630,16/02/2010,17/02/2010,3910,
826,WODOCIĄGOWY-767,103,PRZECIWGROMOWY,39655,09/08/2010,16/08/2010,383,
827,WODOCIĄGOWY-2902,19,OGRODNICZY,46650,04/11/2010,07/11/2010,9072,
828,WODOCIĄGOWY-4829,164,GRZEWCZY,52240,20/01/2010,28/01/2010,2990,
829,WODOCIĄGOWY-3180,162,PRZECIWGROMOWY,7700,04/05/2010,06/05/2010,1384,
830,WODOCIĄGOWY-8757,47,WODOCIĄGOWY,85580,27/07/2010,27/07/2010,9078,
831,WODOCIĄGOWY-9429,183,GRZEWCZY,92320,28/01/2010,03/02/2010,8457,
832,WODOCIĄGOWY-1075,107,GRZEWCZY,4480,03/03/2010,10/03/2010,7208,
833,WODOCIĄGOWY-5250,132,GRZEWCZY,68720,18/07/2010,22/07/2010,3089,
834,WODOCIĄGOWY-7452,141,GRZEWCZY,117760,17/10/2010,18/10/2010,7524,
835,WODOCIĄGOWY-5692,130,ALARMOWY,32650,23/08/2010,23/08/2010,3262,
836,WODOCIĄGOWY-8420,98,GRZEWCZY,147840,06/12/2010,14/12/2010,3185,
837,WODOCIĄGOWY-3521,26,ALARMOWY,91700,04/08/2010,09/08/2010,6962,
838,WODOCIĄGOWY-4981,82,GRZEWCZY,147840,01/08/2010,01/08/2010,8183,
839,WODOCIĄGOWY-3308,107,ELEKTRYCZNY,31350,01/10/2010,05/10/2010,276,
840,WODOCIĄGOWY-9050,26,ELEKTRYCZNY,600,26/05/2010,29/05/2010,8619,
841,WODOCIĄGOWY-2039,165,PRZECIWGROMOWY,11655,03/09/2010,05/09/2010,2535,
842,WODOCIĄGOWY-2815,131,OGRODNICZY,2625,13/09/2010,16/09/2010,7548,
843,WODOCIĄGOWY-1014,44,WODOCIĄGOWY,32065,26/11/2010,05/12/2010,3952,
844,WODOCIĄGOWY-5312,51,ELEKTRYCZNY,43350,20/01/2010,24/01/2010,9743,
845,WODOCIĄGOWY-8632,2,ELEKTRYCZNY,144525,04/03/2010,10/03/2010,1588,
846,WODOCIĄGOWY-9232,173,ALARMOWY,51250,02/11/2010,04/11/2010,3133,
847,WODOCIĄGOWY-7264,91,ELEKTRYCZNY,22725,15/06/2010,16/06/2010,3899,
848,WODOCIĄGOWY-9120,87,ELEKTRYCZNY,31725,06/11/2010,14/11/2010,9933,
849,WODOCIĄGOWY-5872,194,ELEKTRYCZNY,101475,23/12/2010,30/12/2010,7481,
850,WODOCIĄGOWY-3793,143,ALARMOWY,86100,08/08/2010,15/08/2010,4219,
851,WODOCIĄGOWY-5451,57,GRZEWCZY,153360,23/11/2010,27/11/2010,9247,
852,WODOCIĄGOWY-1520,147,ELEKTRYCZNY,28950,20/07/2010,23/07/2010,2092,
853,WODOCIĄGOWY-2958,109,WODOCIĄGOWY,64075,12/10/2010,18/10/2010,2115,
854,WODOCIĄGOWY-2,155,GRZEWCZY,18400,01/11/2010,10/11/2010,8194,
855,WODOCIĄGOWY-3590,177,ALARMOWY,9250,16/11/2010,19/11/2010,2797,
856,WODOCIĄGOWY-3539,120,GRZEWCZY,140320,10/11/2010,11/11/2010,7948,
857,WODOCIĄGOWY-6867,155,WODOCIĄGOWY,44495,09/09/2010,18/09/2010,9499,
858,WODOCIĄGOWY-4226,3,PRZECIWGROMOWY,50190,19/09/2010,26/09/2010,9841,
859,WODOCIĄGOWY-5783,12,WODOCIĄGOWY,50655,19/03/2010,25/03/2010,1603,
860,WODOCIĄGOWY-6809,17,GRZEWCZY,55520,23/07/2010,24/07/2010,1403,
861,WODOCIĄGOWY-1021,98,GRZEWCZY,44080,19/09/2010,26/09/2010,6859,
862,WODOCIĄGOWY-1563,62,OGRODNICZY,32875,06/06/2010,13/06/2010,5498,
863,WODOCIĄGOWY-567,90,GRZEWCZY,116720,30/07/2010,03/08/2010,3413,
864,WODOCIĄGOWY-4968,48,GRZEWCZY,56320,29/10/2010,06/11/2010,1028,
865,WODOCIĄGOWY-6562,76,GRZEWCZY,73840,28/12/2010,31/12/2010,1379,
866,WODOCIĄGOWY-7630,10,ELEKTRYCZNY,64350,09/07/2010,14/07/2010,6658,
867,WODOCIĄGOWY-8456,29,PRZECIWGROMOWY,37520,13/04/2010,22/04/2010,1151,
868,WODOCIĄGOWY-5256,193,GRZEWCZY,15200,30/09/2010,30/09/2010,2076,
869,WODOCIĄGOWY-1829,3,PRZECIWGROMOWY,11725,01/05/2010,08/05/2010,6201,
870,WODOCIĄGOWY-9678,169,ELEKTRYCZNY,146325,15/10/2010,16/10/2010,4448,
871,WODOCIĄGOWY-4584,39,GRZEWCZY,51120,20/04/2010,27/04/2010,4006,
872,WODOCIĄGOWY-9618,54,ALARMOWY,74450,22/02/2010,23/02/2010,9784,
873,WODOCIĄGOWY-5653,142,PRZECIWGROMOWY,39270,13/06/2010,18/06/2010,2182,
874,WODOCIĄGOWY-1608,122,WODOCIĄGOWY,71445,04/04/2010,05/04/2010,9177,
875,WODOCIĄGOWY-8735,195,PRZECIWGROMOWY,35420,09/06/2010,10/06/2010,4720,
876,WODOCIĄGOWY-7787,136,GRZEWCZY,28560,09/04/2010,13/04/2010,2752,
877,WODOCIĄGOWY-9819,66,ALARMOWY,46500,23/08/2010,24/08/2010,8331,
878,WODOCIĄGOWY-7581,86,ALARMOWY,18700,29/07/2010,06/08/2010,301,
879,WODOCIĄGOWY-5372,179,ELEKTRYCZNY,113325,13/04/2010,18/04/2010,7358,
880,WODOCIĄGOWY-9066,152,OGRODNICZY,29475,27/11/2010,01/12/2010,3950,
881,WODOCIĄGOWY-2165,115,OGRODNICZY,43175,08/12/2010,17/12/2010,4427,
882,WODOCIĄGOWY-4805,179,OGRODNICZY,36925,23/05/2010,24/05/2010,6379,
883,WODOCIĄGOWY-7589,148,GRZEWCZY,88640,10/07/2010,19/07/2010,2192,
884,WODOCIĄGOWY-4432,160,PRZECIWGROMOWY,5355,29/01/2010,07/02/2010,4861,
885,WODOCIĄGOWY-5942,3,GRZEWCZY,105920,22/06/2010,27/06/2010,5677,
886,WODOCIĄGOWY-6124,28,GRZEWCZY,36560,30/05/2010,05/06/2010,3960,
887,WODOCIĄGOWY-3153,58,WODOCIĄGOWY,9020,25/11/2010,04/12/2010,6195,
888,WODOCIĄGOWY-7152,97,OGRODNICZY,24225,18/01/2010,22/01/2010,6882,
889,WODOCIĄGOWY-2368,55,GRZEWCZY,80880,04/12/2010,06/12/2010,5159,
890,WODOCIĄGOWY-8585,125,WODOCIĄGOWY,5225,21/03/2010,23/03/2010,948,
891,WODOCIĄGOWY-7150,97,GRZEWCZY,152880,14/11/2010,18/11/2010,5331,
892,WODOCIĄGOWY-6975,32,OGRODNICZY,46725,04/11/2010,08/11/2010,7680,
893,WODOCIĄGOWY-5124,196,WODOCIĄGOWY,96525,06/07/2010,11/07/2010,1074,
894,WODOCIĄGOWY-4940,156,OGRODNICZY,39900,16/06/2010,25/06/2010,2210,
895,WODOCIĄGOWY-3504,155,ELEKTRYCZNY,51525,25/12/2010,31/12/2010,1156,
896,WODOCIĄGOWY-1147,144,PRZECIWGROMOWY,61355,06/09/2010,11/09/2010,2319,
897,WODOCIĄGOWY-2512,136,ALARMOWY,65050,09/12/2010,16/12/2010,6234,
898,WODOCIĄGOWY-2532,164,ELEKTRYCZNY,44250,22/01/2010,27/01/2010,4068,
899,WODOCIĄGOWY-2336,16,ELEKTRYCZNY,124350,29/12/2010,30/12/2010,5605,
900,WODOCIĄGOWY-1053,95,PRZECIWGROMOWY,4480,30/09/2010,01/10/2010,545,
901,WODOCIĄGOWY-9589,22,ALARMOWY,99550,26/07/2010,28/07/2010,2258,
902,WODOCIĄGOWY-2328,91,GRZEWCZY,42400,06/08/2010,12/08/2010,466,
903,WODOCIĄGOWY-8472,26,ALARMOWY,46650,18/10/2010,20/10/2010,5810,
904,WODOCIĄGOWY-4540,108,OGRODNICZY,49250,23/08/2010,27/08/2010,641,
905,WODOCIĄGOWY-773,108,ALARMOWY,11050,07/06/2010,15/06/2010,6448,
906,WODOCIĄGOWY-102,91,WODOCIĄGOWY,19030,12/03/2010,13/03/2010,9144,
907,WODOCIĄGOWY-8670,153,PRZECIWGROMOWY,18340,17/12/2010,23/12/2010,8013,
908,WODOCIĄGOWY-3553,190,GRZEWCZY,36160,18/12/2010,24/12/2010,2274,
909,WODOCIĄGOWY-1233,95,ELEKTRYCZNY,119025,19/08/2010,20/08/2010,8113,
910,WODOCIĄGOWY-3864,47,ELEKTRYCZNY,25350,06/06/2010,09/06/2010,7895,
911,WODOCIĄGOWY-8314,140,WODOCIĄGOWY,96305,22/09/2010,30/09/2010,5196,
912,WODOCIĄGOWY-5395,158,ELEKTRYCZNY,126825,06/12/2010,07/12/2010,6884,
913,WODOCIĄGOWY-5287,134,PRZECIWGROMOWY,37555,08/09/2010,13/09/2010,7843,
914,WODOCIĄGOWY-8047,187,PRZECIWGROMOWY,69545,16/02/2010,22/02/2010,5184,
915,WODOCIĄGOWY-1363,173,ALARMOWY,55050,12/12/2010,16/12/2010,8837,
916,WODOCIĄGOWY-3916,86,PRZECIWGROMOWY,34720,24/06/2010,25/06/2010,9269,
917,WODOCIĄGOWY-9109,123,PRZECIWGROMOWY,60375,31/07/2010,01/08/2010,2214,
918,WODOCIĄGOWY-3822,83,PRZECIWGROMOWY,59325,17/09/2010,26/09/2010,4034,
919,WODOCIĄGOWY-5281,62,ELEKTRYCZNY,2850,15/04/2010,22/04/2010,4416,
920,WODOCIĄGOWY-4959,194,PRZECIWGROMOWY,69475,30/10/2010,01/11/2010,5798,
921,WODOCIĄGOWY-1979,135,ELEKTRYCZNY,23850,30/04/2010,05/05/2010,9179,
922,WODOCIĄGOWY-237,114,GRZEWCZY,67040,15/03/2010,18/03/2010,1371,
923,WODOCIĄGOWY-8359,154,ELEKTRYCZNY,1800,25/04/2010,03/05/2010,8628,
924,WODOCIĄGOWY-9912,171,ELEKTRYCZNY,145950,09/06/2010,09/06/2010,9226,
925,WODOCIĄGOWY-3628,90,OGRODNICZY,29025,01/03/2010,05/03/2010,4567,
926,WODOCIĄGOWY-9952,16,PRZECIWGROMOWY,37520,15/04/2010,15/04/2010,98,
927,WODOCIĄGOWY-4014,163,GRZEWCZY,1920,21/07/2010,21/07/2010,2918,
928,WODOCIĄGOWY-233,104,ELEKTRYCZNY,144975,28/05/2010,02/06/2010,9579,
929,WODOCIĄGOWY-326,51,ELEKTRYCZNY,134250,06/11/2010,11/11/2010,4251,
930,WODOCIĄGOWY-7541,181,OGRODNICZY,32875,28/06/2010,04/07/2010,6713,
931,WODOCIĄGOWY-5526,25,OGRODNICZY,36700,04/01/2011,10/01/2011,6148,
932,WODOCIĄGOWY-2703,155,ELEKTRYCZNY,79875,10/12/2010,16/12/2010,6587,
933,WODOCIĄGOWY-5606,95,PRZECIWGROMOWY,63035,18/04/2010,23/04/2010,6158,
934,WODOCIĄGOWY-8581,36,ELEKTRYCZNY,54600,03/10/2010,11/10/2010,2384,
935,WODOCIĄGOWY-2102,161,ALARMOWY,46800,29/10/2010,31/10/2010,3623,
936,WODOCIĄGOWY-6156,99,OGRODNICZY,45100,10/09/2010,14/09/2010,5128,
937,WODOCIĄGOWY-9930,163,ELEKTRYCZNY,16575,09/11/2010,11/11/2010,8972,
938,WODOCIĄGOWY-2090,168,OGRODNICZY,5200,10/05/2010,19/05/2010,3191,
939,WODOCIĄGOWY-7066,23,PRZECIWGROMOWY,49805,13/06/2010,21/06/2010,5668,
940,WODOCIĄGOWY-9187,2,OGRODNICZY,44975,19/07/2010,26/07/2010,9275,
941,WODOCIĄGOWY-2502,132,OGRODNICZY,12625,26/12/2010,30/12/2010,7494,
942,WODOCIĄGOWY-807,86,WODOCIĄGOWY,19250,21/06/2010,26/06/2010,4785,
943,WODOCIĄGOWY-9654,168,OGRODNICZY,9075,12/03/2010,12/03/2010,8571,
944,WODOCIĄGOWY-7743,80,WODOCIĄGOWY,91575,05/07/2010,12/07/2010,1426,
945,WODOCIĄGOWY-3619,176,ELEKTRYCZNY,135300,15/04/2010,21/04/2010,6593,
946,WODOCIĄGOWY-3742,37,ALARMOWY,28200,07/01/2010,10/01/2010,9943,
947,WODOCIĄGOWY-2246,134,WODOCIĄGOWY,17160,04/02/2010,04/02/2010,6409,
948,WODOCIĄGOWY-7190,157,GRZEWCZY,32720,11/11/2010,14/11/2010,3593,
949,WODOCIĄGOWY-2733,71,WODOCIĄGOWY,73095,25/05/2010,30/05/2010,198,
950,WODOCIĄGOWY-3563,76,ELEKTRYCZNY,23700,11/05/2010,12/05/2010,9571,
951,WODOCIĄGOWY-5475,147,GRZEWCZY,135600,19/05/2010,20/05/2010,5336,
952,WODOCIĄGOWY-7272,129,GRZEWCZY,32000,23/07/2010,23/07/2010,4953,
953,WODOCIĄGOWY-8378,102,PRZECIWGROMOWY,14490,10/09/2010,15/09/2010,9395,
954,WODOCIĄGOWY-193,95,GRZEWCZY,104480,22/10/2010,25/10/2010,1862,
955,WODOCIĄGOWY-4467,23,PRZECIWGROMOWY,57715,30/04/2010,30/04/2010,4983,
956,WODOCIĄGOWY-42,61,ALARMOWY,27700,15/10/2010,19/10/2010,9548,
957,WODOCIĄGOWY-9281,131,WODOCIĄGOWY,9625,15/04/2010,18/04/2010,3286,
958,WODOCIĄGOWY-1556,190,GRZEWCZY,48000,03/11/2010,12/11/2010,1595,
959,WODOCIĄGOWY-4698,45,ELEKTRYCZNY,6975,20/03/2010,28/03/2010,6503,
960,WODOCIĄGOWY-7742,154,ALARMOWY,82100,05/07/2010,05/07/2010,9206,
961,WODOCIĄGOWY-2367,166,GRZEWCZY,40800,05/12/2010,10/12/2010,3372,
962,WODOCIĄGOWY-7495,96,PRZECIWGROMOWY,36295,31/08/2010,05/09/2010,5246,
963,WODOCIĄGOWY-7112,65,GRZEWCZY,105840,28/10/2010,31/10/2010,8135,
964,WODOCIĄGOWY-4282,45,ELEKTRYCZNY,61425,26/06/2010,29/06/2010,8580,
965,WODOCIĄGOWY-8010,105,PRZECIWGROMOWY,34475,29/10/2010,03/11/2010,4560,
966,WODOCIĄGOWY-2293,41,PRZECIWGROMOWY,18795,11/06/2010,14/06/2010,8211,
967,WODOCIĄGOWY-1062,108,PRZECIWGROMOWY,15575,14/12/2010,16/12/2010,1584,
968,WODOCIĄGOWY-1133,2,WODOCIĄGOWY,105270,13/12/2010,21/12/2010,4786,
969,WODOCIĄGOWY-7970,165,WODOCIĄGOWY,74140,18/10/2010,18/10/2010,1654,
970,WODOCIĄGOWY-2735,69,PRZECIWGROMOWY,56175,19/11/2010,19/11/2010,4917,
971,WODOCIĄGOWY-8795,133,OGRODNICZY,2400,18/11/2010,27/11/2010,6571,
972,WODOCIĄGOWY-1124,108,ALARMOWY,76700,24/12/2010,26/12/2010,9056,
973,WODOCIĄGOWY-1240,136,GRZEWCZY,114880,15/11/2010,23/11/2010,9267,
974,WODOCIĄGOWY-319,196,WODOCIĄGOWY,103235,28/11/2010,02/12/2010,8567,
975,WODOCIĄGOWY-3418,81,ELEKTRYCZNY,78300,20/10/2010,20/10/2010,5114,
976,WODOCIĄGOWY-4040,158,WODOCIĄGOWY,23595,22/05/2010,24/05/2010,1387,
977,WODOCIĄGOWY-5336,36,PRZECIWGROMOWY,68950,23/07/2010,28/07/2010,4386,
978,WODOCIĄGOWY-5045,139,GRZEWCZY,42320,21/02/2010,22/02/2010,457,
979,WODOCIĄGOWY-3244,2,PRZECIWGROMOWY,63490,21/11/2010,30/11/2010,2139,
980,WODOCIĄGOWY-239,122,OGRODNICZY,28050,16/06/2010,20/06/2010,8353,
981,WODOCIĄGOWY-5711,192,WODOCIĄGOWY,11330,13/07/2010,18/07/2010,6529,
982,WODOCIĄGOWY-5850,193,ELEKTRYCZNY,29775,07/02/2010,15/02/2010,203,
983,WODOCIĄGOWY-878,149,GRZEWCZY,23760,01/12/2010,10/12/2010,2957,
984,WODOCIĄGOWY-4518,156,OGRODNICZY,15050,24/10/2010,29/10/2010,1511,
985,WODOCIĄGOWY-2766,29,OGRODNICZY,35100,11/04/2010,15/04/2010,1804,
986,WODOCIĄGOWY-105,164,GRZEWCZY,104720,12/05/2010,17/05/2010,7885,
987,WODOCIĄGOWY-1613,114,WODOCIĄGOWY,83930,20/01/2010,20/01/2010,7355,
988,WODOCIĄGOWY-1853,134,GRZEWCZY,118880,09/04/2010,14/04/2010,1152,
989,WODOCIĄGOWY-5440,196,WODOCIĄGOWY,13365,12/06/2010,17/06/2010,9287,
990,WODOCIĄGOWY-5099,25,ALARMOWY,38550,13/09/2010,20/09/2010,5538,
991,WODOCIĄGOWY-5864,175,OGRODNICZY,23550,25/09/2010,28/09/2010,4706,
992,WODOCIĄGOWY-8833,10,ELEKTRYCZNY,87225,12/09/2010,21/09/2010,7148,
993,WODOCIĄGOWY-5613,5,GRZEWCZY,108320,18/08/2010,18/08/2010,3911,
994,WODOCIĄGOWY-496,194,WODOCIĄGOWY,43120,07/04/2010,09/04/2010,7688,
995,WODOCIĄGOWY-7922,155,OGRODNICZY,43050,05/04/2010,06/04/2010,4988,
996,WODOCIĄGOWY-4101,30,PRZECIWGROMOWY,22365,03/09/2010,07/09/2010,7968,
997,WODOCIĄGOWY-2885,175,WODOCIĄGOWY,8580,24/04/2010,03/05/2010,9942,
998,WODOCIĄGOWY-9789,139,ALARMOWY,28550,07/05/2010,10/05/2010,6933,
999,WODOCIĄGOWY-5239,187,WODOCIĄGOWY,46640,28/01/2010,30/01/2010,6459,
1000,WODOCIĄGOWY-864,35,OGRODNICZY,45000,06/07/2010,10/07/2010,2467,
1001,WODOCIĄGOWY-8032,14,ELEKTRYCZNY,93975,14/05/2010,20/05/2010,5336,
1002,WODOCIĄGOWY-4896,72,ALARMOWY,73100,29/07/2010,07/08/2010,8014,
1003,WODOCIĄGOWY-5564,63,WODOCIĄGOWY,37345,24/07/2010,25/07/2010,6167,
1004,WODOCIĄGOWY-8468,172,ELEKTRYCZNY,111075,25/12/2010,02/01/2011,569,
1005,WODOCIĄGOWY-7034,74,PRZECIWGROMOWY,56210,22/11/2010,27/11/2010,695,
1006,WODOCIĄGOWY-972,46,WODOCIĄGOWY,42240,09/04/2010,15/04/2010,7703,
1007,WODOCIĄGOWY-6080,141,PRZECIWGROMOWY,61110,30/10/2010,06/11/2010,4608,
1008,WODOCIĄGOWY-5283,155,PRZECIWGROMOWY,14000,04/08/2010,09/08/2010,1414,
1009,WODOCIĄGOWY-337,193,GRZEWCZY,154160,29/11/2010,02/12/2010,2451,
1010,WODOCIĄGOWY-9115,53,WODOCIĄGOWY,88110,18/07/2010,24/07/2010,5771,
1011,WODOCIĄGOWY-8838,35,ELEKTRYCZNY,66300,26/02/2010,02/03/2010,9784,
1012,WODOCIĄGOWY-5035,80,PRZECIWGROMOWY,32515,15/03/2010,20/03/2010,2851,
1013,WODOCIĄGOWY-4917,127,WODOCIĄGOWY,103675,21/06/2010,23/06/2010,3518,
1014,WODOCIĄGOWY-8562,171,ALARMOWY,56050,03/08/2010,05/08/2010,8264,
1015,WODOCIĄGOWY-7064,83,ELEKTRYCZNY,88575,29/12/2010,02/01/2011,8811,
1016,WODOCIĄGOWY-633,198,WODOCIĄGOWY,52470,29/08/2010,04/09/2010,249,
1017,WODOCIĄGOWY-2089,74,WODOCIĄGOWY,79035,12/05/2010,15/05/2010,7354,
1018,WODOCIĄGOWY-7660,79,ELEKTRYCZNY,94950,21/03/2010,25/03/2010,5951,
1019,WODOCIĄGOWY-7529,70,WODOCIĄGOWY,9075,30/01/2010,31/01/2010,747,
1020,WODOCIĄGOWY-1527,14,ELEKTRYCZNY,147600,05/03/2010,11/03/2010,4340,
1021,WODOCIĄGOWY-4938,180,GRZEWCZY,121600,02/11/2010,08/11/2010,9717,
1022,WODOCIĄGOWY-2646,24,OGRODNICZY,35025,06/11/2010,13/11/2010,9042,
1023,WODOCIĄGOWY-250,113,PRZECIWGROMOWY,41405,25/06/2010,26/06/2010,91,
1024,WODOCIĄGOWY-648,57,ELEKTRYCZNY,122475,21/12/2010,23/12/2010,6898,
1025,WODOCIĄGOWY-1679,183,GRZEWCZY,960,25/10/2010,30/10/2010,7381,
1026,WODOCIĄGOWY-388,135,ALARMOWY,50550,23/06/2010,28/06/2010,4519,
1027,WODOCIĄGOWY-3356,195,OGRODNICZY,2900,22/07/2010,30/07/2010,3601,
1028,WODOCIĄGOWY-2129,71,GRZEWCZY,105440,23/05/2010,25/05/2010,2009,
1029,WODOCIĄGOWY-8086,80,PRZECIWGROMOWY,50575,14/10/2010,22/10/2010,7875,
